claim_id,scene_id,claim,domain,evidence_level,source_citation,locator,source_url,premise_or_constraint,allowed_use,decision,notes
MQ01-E01,MQ01A,"Năm Quang Thuận 3 (1462), người dự thi được lệnh đến nhà giám hoặc đạo sở tại để khai tên và căn cước, chờ thi Hương.",institution,DIRECT,"Đại Việt sử ký toàn thư, Bản kỷ thực lục, Quyển XII; bản trích trên trang Hội đồng họ Lê Việt Nam","đoạn trích tại dòng web 120","https://holevietnam.vn/vua-le-thanh-tong-va-chuyen-trong-dung-hien-tai/",,player-facing fact,KEEP,"Dùng để chuyển opening từ sân đình sang đạo sở."
MQ01-E02,MQ01A,"Mốc kê khai được ấn định vào thượng tuần tháng tám.",chronology,DIRECT,"Đại Việt sử ký toàn thư, Bản kỷ thực lục, Quyển XII; bản trích trên trang Hội đồng họ Lê Việt Nam","đoạn trích tại dòng web 120","https://holevietnam.vn/vua-le-thanh-tong-va-chuyen-trong-dung-hien-tai/",,player-facing fact,KEEP,"Không gọi đây là ngày chính xác riêng của khoa 1483; dùng như lệ đã được ghi từ 1462."
MQ01-E03,MQ01A,"Quan sở tại và xã trưởng/bản xã bảo đảm người được ghi tên thực có đức hạnh.",office,DIRECT,"Đại Việt sử ký toàn thư, Bản kỷ thực lục, Quyển XII; bản trích trên trang Hội đồng họ Lê Việt Nam","đoạn trích tại dòng web 121","https://holevietnam.vn/vua-le-thanh-tong-va-chuyen-trong-dung-hien-tai/",,player-facing fact,KEEP,"Không thay quan sở tại bằng Tiên chỉ."
MQ01-E04,MQ01A,"Người bất hiếu, bất mục, bất nghĩa, loạn luân hoặc điêu toa không được dự thi dù có học vấn và văn chương.",eligibility,DIRECT,"Đại Việt sử ký toàn thư, Bản kỷ thực lục, Quyển XII; bản trích trên trang Hội đồng họ Lê Việt Nam","đoạn trích tại dòng web 121","https://holevietnam.vn/vua-le-thanh-tong-va-chuyen-trong-dung-hien-tai/",,player-facing fact,KEEP,"Chỉ dùng các mục thực sự có trong đoạn trích."
MQ01-E05,MQ01A,"Một khoản nợ tự nó không nên được viết thành điều kiện cấm thi; cáo buộc trong quest phải nhắm vào hành vi vay rồi chối/điêu toa.",gameplay causality,INFERENCE,,,,"Danh mục bị loại trong MQ01-E04 không nêu việc chỉ mắc nợ; Quốc triều hình luật lại điều chỉnh nợ như một quan hệ có văn tự và thủ tục.",production rule,CHANGE,"Đây là suy luận thiết kế thận trọng, không phải tuyên bố rằng mọi trường hợp nợ đều vô can."
MQ01-E06,MQ01B,"Quốc triều hình luật điều chỉnh lãi vay, nợ quá hạn, việc trả lại văn tự và nghĩa vụ của người bảo lĩnh.",legal rule,DIRECT,"Quốc triều hình luật, các điều 587–590","PDF tr. 83–84; dòng web 3309–3329","https://luatduonggia.com/wp-content/uploads/2024/03/QUOC-TRIEU-HINH-LUAT.pdf",,production note and dialogue basis,KEEP,"Dùng thuật ngữ văn tự và người bảo lĩnh; không suy ra bố cục vật thể."
MQ01-E07,MQ01B,"Nếu nợ đã trả mà người cho vay không trả văn tự hoặc đã cấp giấy làm bằng rồi còn dùng văn tự đòi lần nữa thì bị xử phạt và bồi thường.",legal rule,DIRECT,"Quốc triều hình luật, điều 589","PDF tr. 83; dòng web 3317–3321","https://luatduonggia.com/wp-content/uploads/2024/03/QUOC-TRIEU-HINH-LUAT.pdf",,quest option and later evidence,KEEP,"Có thể phát triển nhánh đối chiếu với giấy làm bằng ở phiên bản sau."
MQ01-E08,MQ01B,"Người bảo lĩnh có thể được nêu trong văn tự và phải trả thay theo điều kiện luật định.",document content,DIRECT,"Quốc triều hình luật, điều 590","PDF tr. 83–84; dòng web 3322–3329","https://luatduonggia.com/wp-content/uploads/2024/03/QUOC-TRIEU-HINH-LUAT.pdf",,prop content at a general level,KEEP,"Chỉ xác nhận sự hiện diện khả dĩ của người bảo lĩnh trong văn tự."
MQ01-E09,MQ01B,"Làm giả chúc thư hoặc văn tự, người viết thay và người làm chứng có thể bị xử phạt.",legal rule,DIRECT,"Quốc triều hình luật, điều 534","PDF tr. 77; dòng web 3050–3054","https://luatduonggia.com/wp-content/uploads/2024/03/QUOC-TRIEU-HINH-LUAT.pdf",,production note and conflict basis,KEEP,"Hỗ trợ việc coi sửa văn tự là nghiêm trọng; không chứng minh cách phát hiện giả mạo."
MQ01-E10,MQ01B,"Người biết chữ có thể tự viết chúc thư/văn khế; nếu nhờ viết thì luật nêu quan chưởng làng viết thay và chứng kiến.",document procedure,DIRECT,"Quốc triều hình luật, điều 366","PDF tr. 52–53; dòng web 2067–2069","https://luatduonggia.com/wp-content/uploads/2024/03/QUOC-TRIEU-HINH-LUAT.pdf",,production note,KEEP,"Cần thận trọng vì điều luật gộp chúc thư và văn khế; không suy ra mọi khế vay có cùng công thức."
