design_pillar,player_experience,mechanic,rule_formula,data_id,code_module,ui_surface,telemetry,test,gdd_source_location
Đời sống trước công danh,pressure with agency,Nếp routine,sum slots <= 9,balance_v0.constants.routine_max_slots,prototype/rules/scheduler.py,Nếp builder,routine_resolved,test_routine_limit,GDD v22 §7/26
Đời sống trước công danh,costed planning,Status cost,delta = round(base_cost * cold * overwork),actions.costs + balance_v0.constants,prototype/rules/engine.py,Bảng kết Nếp,action_performed/test trace,test_overwork_modifier; test_clamp_money,GDD v22 §26-29
Trưởng thành qua lao động,earned competence,XP,round(base * quality * novelty * state),actions.xp + balance_v0.xp,prototype/rules/engine.py; prototype/rules/progression.py,Sổ học,xp_gained,test_xp_threshold_rounding; test_xp_state_multiplier_explicit_labels,GDD v22 §10/28
Trưởng thành qua lao động,varied learning,Novelty,1.15 if no same action in prior 12 days else 1.0,balance_v0.xp.novelty_multiplier,prototype/rules/progression.py,Sổ học,xp_gained,test_novelty_window,GDD v22 §28
Trưởng thành qua lao động,earned competence,Work,job pay + mastery/reputation,jobs.json + actions.job,prototype/rules/economy.py; prototype/rules/engine.py,Job result,job_resolved,test_job_pay_mastery_reputation,GDD v22 jobs/Bà Ba
Trưởng thành qua lao động,broker tradeoff,Broker fee,money += max(0 base_pay - broker_fee),balance_v0.constants.broker_fee,prototype/rules/engine.py,Job result,job_resolved,test_broker_fee_condition,GDD v22 Bà Ba
Chữ nghĩa có trọng lượng,cautious investigation,Items,quest_item cannot sell,items.json,prototype/rules/economy.py,Inventory,item_use_or_sale,test_item_consumption_quest_sell,MQ01 DOC01 greybox
Ân nghĩa không miễn phí,uneasy aid,Obligations,source + due_day required,action_accept_help_vien_ngoai,prototype/rules/engine.py,Sổ nghĩa,obligation_added,test_obligation,GDD v22 §15
Đời sống trước công danh,uncertain days,Opportunity draw,seeded weighted draw without replacement and group uniqueness,opportunities.json + balance_v0.constants.opportunity_draw_count,prototype/rules/event_director.py; prototype/rules/simulation.py,Opportunity cards,opportunity_drawn/test flag,test_event_draw_seed_group,GDD v22 event/opportunity loop
Chữ nghĩa có trọng lượng,bounded investigation,Quest transition,target in transitions[current],quests.json,prototype/rules/quest_state.py; prototype/rules/validator.py,Quest log,quest_transition,test_quest_transition; test_validator_dangling_transition_row,GDD v23 MQ01A-D override
Fail-forward có phẩm giá,setback with route,Fail-forward,collapse thresholds trigger forced rest,balance_v0.constants.collapse_*,prototype/rules/engine.py,Bảng kết Nếp,fail_forward_collapse,test_overwork_fail_forward,GDD v22 §20/39
Đời sống trước công danh,continuity,Save,round-trip serialized state,initial_state.json + PlayerState,prototype/rules/save_system.py,Save slot,save_roundtrip,test_save_roundtrip,GDD v22 persistence contract
Đời sống trước công danh,auditable prototype,Telemetry,emit action/domain events,StateDelta.telemetry/events,prototype/rules/engine.py; prototype/rules/cli.py,Debug report,action_performed; xp_gained; job_resolved,test_data_validation; test_event_eligibility,Milestone 2A acceptance
